Gender?,location,sscgpa,hscgpa,ictinterest,ictresult,internetbrowse,matholimpyad,onlinecourse,cpro,onlineresource,patience,pcconfig,gamer,selfstudy,ict,knowledgebefore,proskill,mathSSC,mathHSC,patiencerating,selfrating,CGPA
Male,Chittagong,4.00 and above,4.00 and above,Very Interesting,Very good,Online Courses only,Never,Many,5 to 6,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.15
Male,Chittagong,5,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Less than 5,Many,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Good,7 to 8,Good,Satisfactory,5 to 6,9 to 10,3.4
Male,Chittagong,5,3.5 and above,Very Interesting,Good,Social media and Entertainment,Never,More than once,5 to 6,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Good,5 to 6,Good,Satisfactory,7 to 8,7 to 8,2.9
Male,Chittagong,4.50 and above,3.5 and above,Interesting,Good,Online Study and Social Media,Less than 5,Many,7 to 8,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.1
Female,Chittagong,5,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Never,Many,9 to 10,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Satisfactory,5 to 6,Good,Satisfactory,5 to 6,5 to 6,3.3
Male,Chittagong,4.50 and above,3.5 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Less than 5,7 to 8,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Satisfactory,3 to 4,Good,Satisfactory,7 to 8,7 to 8,3.1
Female,Chittagong,5,4.50 and above,Interesting,Good,Social media and Entertainment,Never,Never,7 to 8,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Satisfactory,7 to 8,Very Good,Good,1 to 2,7 to 8,3.3
Male,Chittagong,5,4.00 and above,Very Interesting,Good,Online Study and Social Media,Never,Many,5 to 6,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Satisfactory,3 to 4,Good,Satisfactory,9 to 10,9 to 10,3.65
Male,Chittagong,4.50 and above,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Less than 5,Many,7 to 8,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Good,5 to 6,Very Good,Good,7 to 8,5 to 6,3
Male,Rural Area,4.50 and above,4.50 and above,Interesting,Very good,Social media and Entertainment,More than once,Many,9 to 10,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Less than Satisfactory,7 to 8,Very Good,Good,1 to 2,7 to 8,3.65
Male,Chittagong,5,3.5 and above,Very Interesting,Good,Online Study and Social Media,Once,Less than 5,7 to 8,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Satisfactory,7 to 8,Very Good,Good,7 to 8,9 to 10,3.35
Male,Chittagong,4.50 and above,Less than 3.5,Very Interesting,Good,Online Study and Social Media,Never,Many,5 to 6,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Satisfactory,1 to 2,Very Good,Satisfactory,5 to 6,3 to 4,3
Male,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Once,More than once,9 to 10,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Strongly Agree,Satisfactory,3 to 4,Very Good,Very Good,7 to 8,7 to 8,3.43
Male,Chittagong,4.00 and above,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Once,Less than 5,9 to 10,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.5
Male,Chittagong,5,5,Very Difficult,Poor,Social media and Entertainment,Never,Never,3 to 4,Neutral,Strongly Agree,Disagree,Strongly Disagree,Agree,Agree,Satisfactory,1 to 2,Less than satisfactory,Satisfactory,9 to 10,1 to 2,3
Male,Chittagong,5,3.5 and above,Very Interesting,Very good,Online Study and Social Media,More than once,More than once,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Satisfactory,1 to 2,Very Good,Very Good,9 to 10,7 to 8,3.12
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Online Course and Reading Blogs,Never,Less than 5,7 to 8,Strongly Agree,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Satisfactory,5 to 6,Very Good,Satisfactory,7 to 8,7 to 8,3.2
Male,Chittagong,4.00 and above,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Never,Less than 5,9 to 10,Strongly Agree,Neutral,Agree,Agree,Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,9 to 10,3.7
Female,Chittagong,5,4.00 and above,Very Interesting,Good,Online Study and Social Media,More than once,Many,7 to 8,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Very Good,5 to 6,Very Good,Good,9 to 10,9 to 10,3.7
Male,Chittagong,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,Many,9 to 10,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Good,9 to 10,Good,Good,9 to 10,9 to 10,3.8
Male,Chittagong,5,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Never,Less than 5,5 to 6,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Less than Satisfactory,3 to 4,Very Good,Satisfactory,9 to 10,5 to 6,3.2
Male,Chittagong,4.50 and above,4.00 and above,Interesting,Good,Online Study and Social Media,Many,Many,1 to 2,Agree,Agree,Agree,Agree,Agree,Disagree,Good,1 to 2,Very Good,Good,1 to 2,5 to 6,2.8
Male,Chittagong,5,3.5 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,3 to 4,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Agree,Neutral,Satisfactory,3 to 4,Good,Satisfactory,5 to 6,3 to 4,2.98
Male,Chittagong,5,5,Very Interesting,Good,Online Course and Reading Blogs,Once,Many,9 to 10,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Good,5 to 6,Good,Satisfactory,7 to 8,9 to 10,3.7
Male,Chittagong,5,4.00 and above,Interesting,Good,Online Study and Social Media,More than once,Less than 5,7 to 8,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Satisfactory,5 to 6,Very Good,Satisfactory,7 to 8,7 to 8,3
Female,Chittagong,5,4.00 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Never,1 to 2,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Good,1 to 2,Very Good,Good,3 to 4,3 to 4,3.1
Male,Chittagong,4.50 and above,3.5 and above,Neutral,Good,Online Study and Social Media,Once,Many,5 to 6,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Good,5 to 6,Good,Very Good,7 to 8,7 to 8,3.12
Male,Chittagong,5,4.00 and above,Neutral,Less than satisfactory,Online Study and Social Media,Never,Never,3 to 4,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Poor,1 to 2,Very Good,Good,7 to 8,5 to 6,3.2
Male,Chittagong,4.50 and above,4.00 and above,Neutral,Satisfactory,Online Study and Social Media,Never,More than once,5 to 6,Disagree,Strongly Agree,Agree,Disagree,Strongly Agree,Neutral,Poor,3 to 4,Satisfactory,Less than satisfactory,5 to 6,3 to 4,2.6
Male,Chittagong,5,4.50 and above,Very Interesting,Good,Online Study and Social Media,Once,Many,5 to 6,Strongly Agree,Strongly Agree,Disagree,Disagree,Agree,Neutral,Less than Satisfactory,5 to 6,Very Good,Good,7 to 8,7 to 8,3.3
Male,Chittagong,Less than 3.50,3.5 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Never,5 to 6,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Satisfactory,5 to 6,Very Good,Very Good,9 to 10,5 to 6,3
Male,Chittagong,4.50 and above,4.50 and above,Very Interesting,Very good,Online Study and Social Media,More than once,Less than 5,5 to 6,Agree,Agree,Agree,Neutral,Strongly Agree,Disagree,Good,5 to 6,Good,Good,7 to 8,7 to 8,3.3
Female,Dhaka,5,4.50 and above,Neutral,Very good,Online Study and Social Media,Less than 5,Once,1 to 2,Neutral,Neutral,Neutral,Agree,Agree,Agree,Satisfactory,1 to 2,Very Good,Very Good,7 to 8,3 to 4,3.1
Male,Dhaka,5,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Never,Many,5 to 6,Strongly Agree,Agree,Agree,Disagree,Agree,Agree,Satisfactory,5 to 6,Good,Good,7 to 8,5 to 6,3.2
Male,Dhaka,4.50 and above,4.00 and above,Interesting,Good,Online Courses only,Never,Once,5 to 6,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Strongly Agree,Satisfactory,3 to 4,Very Good,Good,5 to 6,5 to 6,2.9
Male,Dhaka,5,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,3 to 4,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Good,3 to 4,Good,Very Good,5 to 6,3 to 4,3.12
Female,Dhaka,5,4.00 and above,Neutral,Satisfactory,Online Study and Social Media,Never,Less than 5,1 to 2,Strongly Agree,Strongly Agree,Neutral,Disagree,Strongly Agree,Neutral,Less than Satisfactory,1 to 2,Very Good,Very Good,9 to 10,9 to 10,3.17
Male,Chittagong,5,3.5 and above,Very Interesting,Very good,Online Study and Social Media,More than once,Less than 5,7 to 8,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Good,5 to 6,Very Good,Good,7 to 8,9 to 10,3.66
Male,Chittagong,4.50 and above,4.00 and above,Very Interesting,Good,Social media and Entertainment,Never,More than once,5 to 6,Strongly Agree,Strongly Agree,Disagree,Neutral,Strongly Agree,Agree,Poor,5 to 6,Satisfactory,Less than satisfactory,3 to 4,1 to 2,2.9
Male,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,Never,Many,9 to 10,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Very Good,9 to 10,Very Good,Satisfactory,7 to 8,9 to 10,3.93
Female,Chittagong,5,4.50 and above,Interesting,Satisfactory,Online Study and Social Media,More than once,Many,3 to 4,Agree,Agree,Disagree,Disagree,Agree,Agree,Satisfactory,3 to 4,Satisfactory,Satisfactory,7 to 8,5 to 6,3.3
Female,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,5 to 6,Agree,Agree,Neutral,Disagree,Agree,Agree,Satisfactory,5 to 6,Satisfactory,Satisfactory,5 to 6,7 to 8,3.2
Female,Chittagong,5,4.50 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,5 to 6,Agree,Agree,Agree,Disagree,Agree,Agree,Good,5 to 6,Satisfactory,Satisfactory,5 to 6,7 to 8,3.3
Male,Chittagong,5,4.00 and above,Very Interesting,Very good,Online Course and Reading Blogs,Once,More than once,7 to 8,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Agree,Good,7 to 8,Very Good,Good,5 to 6,7 to 8,3.45
Female,Chittagong,5,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Never,Never,9 to 10,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Neutral,Poor,5 to 6,Very Good,Good,5 to 6,9 to 10,3.55
Female,Chittagong,5,5,Very Interesting,Very good,Online Course and Reading Blogs,More than once,More than once,7 to 8,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Satisfactory,7 to 8,Very Good,Good,5 to 6,7 to 8,3.69
Male,Chittagong,5,4.50 and above,Interesting,Satisfactory,Social media and Entertainment,Never,Once,5 to 6,Agree,Agree,Agree,Disagree,Neutral,Disagree,Poor,3 to 4,Less than satisfactory,Satisfactory,5 to 6,5 to 6,3.15
Male,Chittagong,5,4.50 and above,Very Interesting,Good,Online Study and Social Media,More than once,Many,5 to 6,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Poor,5 to 6,Very Good,Very Good,9 to 10,9 to 10,3.71
Female,Chittagong,5,4.00 and above,Interesting,Very good,Online Study and Social Media,Never,More than once,5 to 6,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Satisfactory,5 to 6,Good,Good,7 to 8,5 to 6,3.26
Male,Chittagong,4.00 and above,4.00 and above,Interesting,Good,Online Study and Social Media,More than once,More than once,7 to 8,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Satisfactory,5 to 6,Good,Good,5 to 6,5 to 6,2.98
Female,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Many,Less than 5,5 to 6,Agree,Agree,Neutral,Agree,Agree,Neutral,Satisfactory,5 to 6,Good,Good,7 to 8,9 to 10,3.65
Male,Chittagong,5,4.50 and above,Interesting,Very good,Online Study and Social Media,Many,Many,5 to 6,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Very Good,7 to 8,Good,Good,9 to 10,9 to 10,3.1
Male,Chittagong,4.50 and above,3.5 and above,Very Interesting,Very good,Online Study and Social Media,Never,Many,3 to 4,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Neutral,Poor,5 to 6,Satisfactory,Satisfactory,7 to 8,9 to 10,3
Male,Chittagong,Less than 3.50,4.00 and above,Very Interesting,Very good,Online Study and Social Media,More than once,Many,1 to 2,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Satisfactory,3 to 4,Very Good,Good,9 to 10,3 to 4,3.1
Female,Dhaka,Less than 3.50,Less than 3.5,Very Difficult,Very good,Social media and Entertainment,Many,Many,9 to 10,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly disagree,Very Good,9 to 10,Very Good,Very Good,9 to 10,9 to 10,2.25
Male,Chittagong,4.50 and above,3.5 and above,Neutral,Less than satisfactory,Social media and Entertainment,Once,More than once,3 to 4,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Less than Satisfactory,1 to 2,Good,Satisfactory,3 to 4,3 to 4,2.44
Female,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Never,Many,9 to 10,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Good,3 to 4,Very Good,Good,5 to 6,9 to 10,3.5
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Social media and Entertainment,Once,Many,5 to 6,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Disagree,Less than Satisfactory,5 to 6,Very Good,Satisfactory,3 to 4,5 to 6,3.2
Female,Chittagong,5,4.50 and above,Interesting,Satisfactory,Online Study and Social Media,Once,Never,9 to 10,Agree,Agree,Agree,Neutral,Neutral,Agree,Poor,3 to 4,Good,Good,7 to 8,7 to 8,3.59
Male,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Never,Never,1 to 2,Disagree,Disagree,Agree,Agree,Agree,Agree,Poor,3 to 4,Very Good,Very Good,5 to 6,5 to 6,3.1
Male,Chittagong,5,3.5 and above,Interesting,Good,Online Study and Social Media,Once,Never,5 to 6,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Disagree,Satisfactory,5 to 6,Very Good,Very Good,9 to 10,9 to 10,3.1
Male,Chittagong,4.00 and above,4.00 and above,Very Interesting,Very good,Online Courses only,Never,Many,5 to 6,Strongly Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3
Male,Chittagong,5,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Less than 5,Many,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Good,7 to 8,Good,Satisfactory,5 to 6,9 to 10,3.4
Male,Chittagong,5,3.5 and above,Very Interesting,Good,Social media and Entertainment,Never,More than once,5 to 6,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Good,5 to 6,Good,Satisfactory,7 to 8,7 to 8,2.9
Male,Chittagong,4.50 and above,3.5 and above,Interesting,Good,Online Study and Social Media,Less than 5,Many,7 to 8,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3
Female,Chittagong,5,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Never,Many,9 to 10,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Satisfactory,5 to 6,Good,Satisfactory,5 to 6,5 to 6,3.25
Male,Chittagong,4.50 and above,3.5 and above,Interesting,Satisfactory,Online Study and Social Media,Never,Less than 5,7 to 8,Agree,Strongly Agree,Neutral,Agree,Agree,Disagree,Satisfactory,3 to 4,Good,Satisfactory,7 to 8,7 to 8,3
Female,Chittagong,5,4.50 and above,Interesting,Good,Social media and Entertainment,Never,Never,7 to 8,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Satisfactory,7 to 8,Very Good,Good,1 to 2,7 to 8,3.56
Male,Chittagong,5,4.00 and above,Very Interesting,Good,Online Study and Social Media,Never,Many,5 to 6,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Satisfactory,3 to 4,Good,Satisfactory,9 to 10,9 to 10,3.73
Male,Chittagong,4.50 and above,4.00 and above,Very Interesting,Very good,Online Study and Social Media,Less than 5,Many,7 to 8,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Agree,Good,5 to 6,Very Good,Good,7 to 8,5 to 6,3
Male,Rural Area,4.50 and above,4.50 and above,Interesting,Very good,Social media and Entertainment,More than once,Many,9 to 10,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Neutral,Less than Satisfactory,7 to 8,Very Good,Good,1 to 2,7 to 8,3.69
Female,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Many,Many,7 to 8,Agree,Agree,Agree,Agree,Agree,Agree,Good,7 to 8,Good,Very Good,9 to 10,7 to 8,3.9
Female,Chittagong,4.50 and above,5,Neutral,Satisfactory,Online Study and Social Media,Never,More than once,5 to 6,Agree,Agree,Agree,Agree,Disagree,Neutral,Satisfactory,5 to 6,Good,Good,7 to 8,3 to 4,3.54
Male,Chittagong,4.00 and above,3.5 and above,Difficult,Less than satisfactory,Social media and Entertainment,Never,Once,1 to 2,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Good,3 to 4,Satisfactory,Less than satisfactory,5 to 6,5 to 6,2.9
Male,Dhaka,5,5,Interesting,Good,Online Study and Social Media,More than once,More than once,7 to 8,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Satisfactory,5 to 6,Satisfactory,Satisfactory,7 to 8,5 to 6,3.6
Female,Dhaka,5,5,Very Interesting,Good,Online Study and Social Media,Many,Many,9 to 10,Agree,Agree,Agree,Neutral,Neutral,Agree,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.8
Female,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Many,Many,9 to 10,Agree,Agree,Neutral,Neutral,Disagree,Agree,Good,7 to 8,Good,Good,9 to 10,7 to 8,3.89
Male,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Never,Many,5 to 6,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Satisfactory,5 to 6,Satisfactory,Satisfactory,7 to 8,5 to 6,3.6
Female,Dhaka,4.50 and above,5,Interesting,Satisfactory,Online Study and Social Media,Never,Once,7 to 8,Agree,Agree,Agree,Neutral,Agree,Agree,Satisfactory,5 to 6,Satisfactory,Good,7 to 8,7 to 8,3.65
Female,Dhaka,5,5,Very Interesting,Very good,Online Study and Social Media,Less than 5,Many,7 to 8,Agree,Agree,Agree,Neutral,Neutral,Neutral,Good,7 to 8,Good,Good,7 to 8,7 to 8,3.8
Male,Dhaka,5,5,Interesting,Good,Online Study and Social Media,Once,More than once,7 to 8,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Satisfactory,7 to 8,Satisfactory,Satisfactory,5 to 6,5 to 6,3.6
Male,Chittagong,5,5,Interesting,Good,Online Study and Social Media,Less than 5,Many,7 to 8,Strongly Agree,Agree,Neutral,Neutral,Disagree,Neutral,Satisfactory,7 to 8,Satisfactory,Good,7 to 8,7 to 8,3.72
Male,Dhaka,4.50 and above,5,Interesting,Good,Online Study and Social Media,Less than 5,Many,7 to 8,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Satisfactory,7 to 8,Satisfactory,Good,7 to 8,5 to 6,3.6
Male,Chittagong,5,5,Interesting,Very good,Online Course and Reading Blogs,More than once,Many,7 to 8,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Satisfactory,7 to 8,Very Good,Very Good,7 to 8,9 to 10,3.75
Male,Chittagong,4.50 and above,4.50 and above,Interesting,Good,Online Courses only,More than once,Many,7 to 8,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Satisfactory,5 to 6,Very Good,Good,7 to 8,9 to 10,3.48
Male,Chittagong,4.00 and above,4.00 and above,Neutral,Satisfactory,Online Study and Social Media,Never,More than once,5 to 6,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Less than Satisfactory,5 to 6,Good,Satisfactory,5 to 6,5 to 6,3.2
Male,Chittagong,4.00 and above,4.00 and above,Neutral,Satisfactory,Social media and Entertainment,Never,Never,3 to 4,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Less than Satisfactory,3 to 4,Good,Satisfactory,5 to 6,5 to 6,2.9
Male,Chittagong,5,4.00 and above,Neutral,Satisfactory,Social media and Entertainment,Never,Never,3 to 4,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Poor,5 to 6,Satisfactory,Satisfactory,5 to 6,5 to 6,2.88
Male,Chittagong,4.50 and above,3.5 and above,Neutral,Satisfactory,Online Study and Social Media,Never,More than once,5 to 6,Agree,Agree,Disagree,Disagree,Neutral,Agree,Less than Satisfactory,1 to 2,Good,Good,5 to 6,5 to 6,3
Male,Chittagong,5,5,Interesting,Good,Online Courses only,Once,Many,9 to 10,Strongly Agree,Strongly Agree,Disagree,Neutral,Disagree,Neutral,Good,5 to 6,Satisfactory,Satisfactory,7 to 8,7 to 8,3.8
Male,Chittagong,4.50 and above,4.50 and above,Neutral,Satisfactory,Online Study and Social Media,Never,Never,1 to 2,Agree,Agree,Disagree,Disagree,Agree,Neutral,Poor,1 to 2,Satisfactory,Less than satisfactory,3 to 4,3 to 4,2.6
Male,Chittagong,4.50 and above,4.00 and above,Difficult,Satisfactory,Online Study and Social Media,Never,Never,3 to 4,Agree,Agree,Disagree,Disagree,Neutral,Neutral,Less than Satisfactory,3 to 4,Satisfactory,Less than satisfactory,5 to 6,5 to 6,2.7
Male,Chittagong,4.00 and above,3.5 and above,Neutral,Satisfactory,Online Study and Social Media,Never,Never,1 to 2,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Satisfactory,5 to 6,Good,Good,5 to 6,5 to 6,2.5
Male,Chittagong,4.50 and above,4.50 and above,Very Interesting,Very good,Online Study and Social Media,Never,More than once,5 to 6,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Good,7 to 8,Very Good,Good,7 to 8,7 to 8,3.45
Male,Dhaka,4.50 and above,5,Interesting,Good,Online Study and Social Media,Many,More than once,9 to 10,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Satisfactory,7 to 8,Good,Good,7 to 8,7 to 8,3.65
Male,Chittagong,5,5,Interesting,Very good,Online Study and Social Media,More than once,Many,7 to 8,Agree,Agree,Disagree,Disagree,Agree,Disagree,Satisfactory,7 to 8,Good,Very Good,7 to 8,9 to 10,3.6
Male,Chittagong,4.00 and above,3.5 and above,Difficult,Less than satisfactory,Social media and Entertainment,Never,Once,5 to 6,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Poor,3 to 4,Satisfactory,Less than satisfactory,5 to 6,3 to 4,2.8
Male,Chittagong,4.50 and above,4.50 and above,Neutral,Satisfactory,Online Study and Social Media,Never,More than once,5 to 6,Agree,Agree,Agree,Neutral,Disagree,Disagree,Satisfactory,5 to 6,Satisfactory,Satisfactory,7 to 8,5 to 6,3.12
